fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230419 145109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1052	TRUE	394943	0.0106044484045099	0.985333638854487	3453	17	11109	67605000	73
20230419 145334	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	979	TRUE	394943	0.0100419976795882	0.913232257820682	4368	995	12461	67380000	74
20230419 145349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	394943	0.151966570947913	0.988778680857879	4763	1017	14962	64680000	75
20230419 145618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1087	TRUE	394943	0.0103978344018164	0.996268560338809	5156	1004	9753	64950000	76
20230419 145851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1063	TRUE	394943	0.010420366352572	0.995604395635162	3923	340	12152	67350000	77
20230419 145905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	394943	0.299091672776038	0.875234488269946	6390	1014	11984	66180000	78
20230419 150223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1010	TRUE	394943	0.0111233959559914	0.355038465515307	1445	1021	12968	68385000	79
20230419 150254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	394943	0.292921413293055	0.998096381594764	265	1024	10677	63255000	80
20230419 150403	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	302	TRUE	394943	0.0246248669561831	0.334692434337529	1940	1015	14059	66915000	81
20230419 150632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	964	TRUE	394943	0.0100161887613603	0.923180812978213	3702	653	11349	67005000	82
20230419 150650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	394943	0.119963688756895	0.982161381754575	3172	16	12739	67275000	83
20230419 151014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1615	TRUE	394943	0.0116194193580315	0.203986462290934	5969	17	13207	65145000	84
20230419 151344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1106	TRUE	394943	0.0100732854080222	0.249920902468563	1163	356	13305	68445000	85
20230419 151755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	394943	0.0101792298161433	0.8993639938523	137	994	7416	62475000	86
20230419 152237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1524	TRUE	394943	0.0100014541265242	0.490529488931428	1899	796	12551	68190000	87
20230419 152508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	335	TRUE	394943	0.01037850233413	0.783803372175945	549	406	12986	68685000	88
20230419 152751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	668	TRUE	394943	0.0100172987830417	0.619014661480342	1220	623	13189	68325000	89
20230419 153016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	490	TRUE	394943	0.0100142245001137	0.864715860863417	543	120	13274	68670000	90
20230419 153324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	971	TRUE	394943	0.0100278918853491	0.484137708569352	3932	971	11981	66660000	91
20230419 153609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1554	TRUE	394943	0.0100764438793176	0.757969493056776	715	19	13231	68550000	92
20230419 153911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	906	TRUE	394943	0.0105810078271899	0.364691165007965	1834	413	13008	67785000	93
20230419 154212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1751	TRUE	394943	0.012790141477909	0.812506630013195	431	29	10896	68595000	94
20230419 154445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1106	TRUE	394943	0.0100253901902847	0.998905289963449	5070	687	13184	66900000	95
20230419 154842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1469	TRUE	394943	0.0100635373063037	0.222580099343226	1550	893	12469	67845000	96
20230419 155039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1028	TRUE	394943	0.0170680349116461	0.973177382266015	7998	17	10007	63945000	97
20230419 155351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1486	TRUE	394943	0.0100622037427115	0.208190968960279	2240	16	11617	66675000	98
20230419 155622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	884	TRUE	394943	0.0164601434004945	0.331431657422289	2160	1024	11230	67110000	99
20230419 155643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	394943	0.159846573925809	0.238791759704141	8000	18	5006	52785000	100
20230419 155656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	394943	0.299591438877283	0.625647873758917	7179	674	13075	63495000	101
20230419 155858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	984	TRUE	394943	0.0130148403377851	0.925702708721714	4654	16	12929	68265000	102
20230419 160123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1111	TRUE	394943	0.0101861832480519	0.661284353815209	3404	18	12852	67410000	103
20230419 160434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1664	TRUE	394943	0.0102823572920416	0.998765439462801	5439	16	12131	65970000	104
20230419 160803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1047	TRUE	394943	0.0103967299370083	0.914483623282177	1152	461	13167	68265000	105
20230419 161058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	620	TRUE	394943	0.0100451707970105	0.485493560340279	1283	1022	13099	68955000	106
20230419 161415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1144	TRUE	394943	0.010427893252005	0.523127817061495	4602	16	12609	66705000	107
20230419 161648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1337	TRUE	394943	0.0102461747035287	0.812933654125429	2060	16	13507	68205000	108
20230419 161906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	302	TRUE	394943	0.0141314150177328	0.894721242071406	439	306	10986	67605000	109
20230419 162237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	605	TRUE	394943	0.0102663435863298	0.571680244088984	564	376	13833	68910000	110
20230419 162510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	664	TRUE	394943	0.0158915705216311	0.496638661733688	1325	1010	12011	67770000	111
20230419 162814	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1198	TRUE	394943	0.0102584756524053	0.991050810725054	2840	776	11522	67680000	112
20230419 163138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	844	TRUE	394943	0.0105107501037592	0.4863882312147	1291	830	13655	68235000	113
20230419 163448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	789	TRUE	394943	0.010417141514037	0.5322570083361	2574	1012	12860	67620000	114
20230419 163802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1237	TRUE	394943	0.0100655091453289	0.202428760105424	2916	729	10424	65580000	115
20230419 164048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1098	TRUE	394943	0.0100904125512538	0.995169855262172	4522	274	14019	67035000	116
20230419 164349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	974	TRUE	394943	0.0106053428309127	0.805039250492596	2367	713	13051	67650000	117
20230419 164421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	394943	0.072756867518757	0.685505953166381	919	1024	13256	66555000	118
20230419 164657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1003	TRUE	394943	0.0106666149017866	0.99995916214286	4122	411	9344	65700000	119
20230419 165027	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1817	TRUE	394943	0.0106071353069053	0.99746608539087	7258	19	12702	65940000	120
