fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20230424 230344	-0.253239705743681	6107.3098234445	1677.61309041234	3	5	47655000	73
20230424 230400	-0.999857956830368	90.089465034409	6.34241012820995	9	5	50691000	74
20230424 230414	-0.999598397212917	7998.0658351408	31.0749761418484	9	5	34806000	75
20230424 230441	-0.74111123745726	3.96271321760018	1.77424803374186	18	5	32208000	76
20230424 230455	-0.413463858897593	7980.07198089644	3987.52094269357	16	5	39627000	77
20230424 230514	-0.99894221501266	10.8360715804449	1.95131536472024	11	5	44814000	78
20230424 230529	-0.999744998314549	14.2857167799407	4.49221246037864	8	5	46650000	79
20230424 230545	-0.676522650494256	658.537551192316	329.045385471231	9	5	44592000	80
20230424 230601	-0.955431207691117	942.187500589177	467.642684062035	9	5	42315000	81
20230424 230614	-0.783582820957025	4099.84537664163	2037.89285115281	6	5	39759000	82
20230424 230627	-0.57381228602803	2010.05673687613	1.06371286628637	7	5	48150000	83
20230424 230644	-0.695979424969923	7990.40999824405	251.162667350377	13	5	34839000	84
20230424 230658	-0.448215879081259	27.4340284639472	10.8520642680332	7	5	46797000	85
20230424 230711	-0.502710191452905	1669.74887150574	6.55010440950753	6	5	45993000	86
20230424 230725	-0.999795954420831	7410.57041263158	3697.5198199594	20	5	41895000	87
20230424 230739	-0.0628709729327783	7993.05465403295	3986.4862054638	11	5	39627000	88
20230424 230756	-0.568435103700985	2505.90528701251	1245.71744141776	11	5	44523000	89
20230424 230823	-0.999970093962822	24.7517758496145	4.20156466249817	20	5	32388000	90
20230424 230837	-0.999938034146072	7998.92214006414	3994.05638729888	17	5	39627000	91
20230424 230852	-0.83625162432065	7967.41443126894	3982.15276927374	20	5	39627000	92
20230424 230909	-0.521493057895491	3486.32889911967	1741.29739861988	16	5	40557000	93
20230424 230926	-0.086116060670576	7994.02644444992	33.6258886962113	13	5	34257000	94
20230424 230940	-0.219109902378262	57.4902514879242	5.19503619519676	7	5	46920000	95
20230424 230953	-0.234289514945982	4914.59489170265	2.4896476282362	7	5	41124000	96
20230424 231009	-0.301316233495448	62.2885923600812	22.7840111766211	9	5	51024000	97
20230424 231027	-0.341163345437467	264.952530947752	131.066337424206	10	5	43650000	98
20230424 231042	-0.291847019956718	23.0233251654172	8.59031352306793	8	5	49335000	99
20230424 231059	-0.230516935438349	67.6175482333189	31.6052707586528	9	5	48567000	100
20230424 231117	-0.293786249792258	2155.91229978408	1076.30096170817	9	5	43791000	101
20230424 231131	-0.551631570601732	6857.27777223825	3427.25632351147	14	5	41766000	102
20230424 231148	-0.505387770495006	22.4194106728255	1.98838799167234	9	5	49059000	103
20230424 231215	-0.310410353662819	9.35329313586236	3.36685898175134	20	5	26688000	104
20230424 231228	-0.680362312592445	7941.18372841895	3.31258582251998	7	5	36336000	105
20230424 231238	-0.234536090272876	30.1105720646683	13.251490901904	3	5	45630000	106
20230424 231253	-0.627603272136953	13.996116231416	4.04199942100222	7	5	46503000	107
20230424 231308	-0.773575936074118	5649.10848289571	2823.00457451643	15	5	42288000	108
20230424 231317	-0.999344578126292	7919.20356080529	3958.18451460712	3	5	47655000	109
20230424 231331	-0.999904490313654	7402.28082083331	3681.63360581433	13	5	41751000	110
20230424 231348	-0.737492397760385	4082.9600030844	2040.56074679866	12	5	40152000	111
20230424 231404	-0.362774230702748	7.17262233448623	2.40630693369844	9	5	48669000	112
20230424 231420	-0.253724924565478	5634.5971657916	2816.82961703796	15	5	42294000	113
20230424 231429	-0.875426335462031	7539.75648273641	3767.86277915877	3	5	47655000	114
20230424 231444	-0.580874833584972	2968.18210887501	1480.57876340288	9	5	41847000	115
20230424 231458	-0.0773459277300009	7998.00849374969	8.07671479122295	9	5	36408000	116
20230424 231519	-0.999269545665451	7998.64052067732	4.32866199209519	19	5	35706000	117
20230424 231536	-0.997509278190602	1884.9981489188	32.2378503145142	10	5	44757000	118
20230424 231550	-0.389491516651496	7989.49592365756	3994.49892009677	19	5	39627000	119
20230424 231609	-0.473425123131341	6755.72949521349	1.17825845869229	15	5	40527000	120
20230424 231624	-0.863152693344808	7788.70256973849	3869.97097622899	14	5	39627000	121
20230424 231642	-0.505213318466018	2728.69993092616	1.36416762772614	12	5	49104000	122
20230424 231659	-0.480070269456493	3608.04202160777	1801.11900588114	13	5	41625000	123
20230424 231719	-0.534908226383724	161.847301603467	11.1803757841467	12	5	50427000	124
20230424 231737	-0.507366384799088	32.3550164255044	1.00501766361671	11	5	47142000	125
20230424 231755	-0.546680048679204	5001.11761478386	1.40530797895534	12	5	41922000	126
20230424 231814	-0.499393668780151	473.667652989479	2.33195646577959	12	5	51837000	127
20230424 231834	-0.472466423058451	13.5027313548105	3.75591156435585	12	5	46914000	128
20230424 231850	-0.916470284395226	5181.00355766858	2590.03247902807	18	5	40977000	129
20230424 231909	-0.516654369042648	1110.38947773844	3.46049273699797	12	5	53115000	130
20230424 231925	-0.485922407226365	5264.66583185295	2631.26625408952	20	5	40977000	131
20230424 231948	-0.755438208807935	5004.81604272181	3.37483144093763	20	5	39225000	132
20230424 232003	-0.999127682418268	7842.13962806607	3919.0700957256	10	5	39627000	133
20230424 232022	-0.517500789920958	921.481441352178	9.99703826218574	13	5	47955000	134
20230424 232035	-0.512678732821175	7997.65250820646	3988.90623306554	7	5	39627000	135
20230424 232055	-0.804069128348115	7994.21647260939	64.802083516795	17	5	34662000	136
20230424 232110	-0.128275622217537	31.5686536848049	1.12775906546811	8	5	49386000	137
