fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230428 020049	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	98	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.19340992772158	0.0805671930672089	356	40551	11546	59949346.3268366	49
20230428 020430	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	367	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.168250202246187	0.49127143152358	595	2772	10291	62296535.2323838	50
20230428 020536	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.133795389740411	0.304675272157658	83	28728	13451	57815815.5922039	51
20230428 020707	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	217	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.237497188025645	0.191133423858935	812	30627	14189	64017287.856072	52
20230428 021000	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	614	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.225639973723546	0.200896317421058	149	40238	11869	62399596.7016492	53
20230428 021219	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	312	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.108446985309781	0.882940183176282	746	4670	11635	65372181.4092954	54
20230428 021440	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	102	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0322528442241321	0.484699985944203	106	14770	15685	60199632.6836582	55
20230428 021640	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	615	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.112685802785708	0.0781145134049072	339	48114	13173	63984268.3658171	56
20230428 021800	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.0739413696022588	0.389626444185923	956	20858	14006	56248386.8065967	57
20230428 021858	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	148	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.248439707556688	0.850231492490908	216	42310	13820	63618560.7196402	58
20230428 022021	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.200792246491651	0.640670613960917	133	4412	11714	65423877.0614693	59
20230428 022215	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	349	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.27946134063242	0.184285874151029	868	27676	11317	62645281.8590705	60
20230428 022431	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	271	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.171337592617092	0.588714004911904	829	45965	12026	63859271.3643178	61
20230428 022627	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	440	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.255358329179583	0.964605962082874	534	25740	13437	63011218.8905547	62
20230428 022838	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	222	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.266184902315079	0.552139059463458	575	47311	12191	63224661.1694153	63
20230428 023124	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	284	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.136604245510262	0.454537683559819	679	6692	11068	63916779.6101949	64
20230428 023408	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	326	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.166811202342566	0.436534901741839	444	20333	11868	65241217.3913044	65
20230428 023615	490	572912	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	573	1	1	1	FALSE	1	0.1	50	0.5	TRUE	262139	0.228990098816264	0.106456677357506	328	29512	15236	63470770.6146927	66
